"plantio";"area";"dataplantio";"matgen";"espacamento";"parcela";"areaparc";"datamedicao";"idade";"fila";"cova";"fuste";"cat";"dap";"ht";"decliv_perc";"ffcc"
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;23;1;"Normal";11,68;17,971815644275;10,69;0,437614870247491
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;3;24;1;"Normal";12,99;18,8467725335039;10,69;0,434896783882106
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;25;1;"Normal";12,64;18,3036958436377;10,69;0,434541579226825
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;26;1;"Normal";10,66;17,0264599248784;10,69;0,439381148565544
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;26;2;"Normal";9,33;15,5782554185686;10,69;0,441728713930179
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;27;1;"Normal";12,61;17,4991377845767;10,69;0,431927889319239
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;28;1;"Normal";12,06;17,9014168141072;10,69;0,435692618716809
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;29;1;"Normal";12,32;18,8065446305508;10,69;0,437507316969403
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;30;1;"Torta";10,76;17,127029682261;10,69;0,439181161401847
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;31;1;"Normal";11,68;18,1025563288724;10,69;0,438031994498242
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;32;1;"Normal";13,05;18,8769434607187;10,69;0,434758981537555
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;33;1;"Normal";12,54;18,585291164309;10,69;0,435905661497469
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;4;34;1;"Normal";13,05;18,8769434607187;10,69;0,434758981537555
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;5;35;1;"Normal";13,4;19,0579690240074;10,69;0,433984693156077
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;5;36;1;"Normal";13,08;18,8970574121952;10,69;0,434722330132715
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;5;37;1;"Torta";11,52;17,8410749596776;10,69;0,437900745184006
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;5;38;1;"Dominante";13,91;19,6111026896118;10,69;0,433871268135896
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;5;39;1;"Normal";12,51;18,5752341885708;10,69;0,435989523156008
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;5;40;1;"Dominante";13,46;19,0076841453161;10,69;0,433567524809856
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;5;41;1;"Torta";12,35;18,4646074554499;10,69;0,436308592466986
2175;25,29;"2017-11-11";12;"3,45X2,40";"25";469,9;"2020-09-16";2,84736481861739;5;42;1;"Normal";12,61;18,6355760430004;10,69;0,435749967281859
