m_parcela;m_plantio;matgen;espacamento;medicao;idade;dapmin;dapmed;dapmax;s2dap;dg;g;htmin;htmed;htmax;s2ht;ddom;hdom;vtcc
358;107;27;5,00 X 2,40;2;3,247091034;5,411268065;12,28676161;17,79352264;6,805237299;12,55403388;10,58846248;12,8;14,07117323;16,0174273;1,244232962;14,30484629;14,33821647;75,57777683
359;107;27;5,00 X 2,40;2;3,247091034;3,437746771;11,31980691;15,9473253;7,181152195;11,62581608;9,6018785;2,858356509;13,46722867;17,9;9,160175089;14,21571952;16,28;67,6158539
360;108;27;5,00 X 2,40;2;3,249828884;4,647324338;9,741058883;13,68732511;4,236111419;9,950930599;6,319456191;10,88822814;11,30142223;11,83444378;0,234599976;9,772113506;11,30142223;34,71538247
361;108;27;5,00 X 2,40;2;3,249828884;3,565070725;10,24492014;13,75098708;4,918057352;10,47647333;7,026310577;4,493280835;11,09828205;13;4,505759623;12,63053628;12,48;39,31317129
362;108;27;5,00 X 2,40;2;3,249828884;5,411268065;10,18739687;14,64225476;3,669561538;10,36181827;7,213808221;7,381174825;11,37199906;13,2;1,923036224;12,8660856;12,82;40,27742455
364;109;27;5,00 X 3,00;2;3,249828884;8,594366927;11,37162068;14,8332407;2,313908057;11,47010854;7,645238429;10,10308497;11,78828928;13,2;0,828253379;12,8533532;12,5;42,83739295
372;113;27;5,00 X 3,00;2;3,323750856;7,002817496;10,68643121;15,78817035;4,908280138;10,90590854;7,298389124;3,163355209;8,340809764;12,8;7,90131121;13,13028281;12,36175973;33,86465019
345;102;28;4,50 X 2,00;2;3,370294319;7,512113314;11,43764848;17,12507188;6,155377528;11,6965302;7,574643928;12,1;13,45660241;14,7;0,369294594;14,21571952;13,9;49,29252913
346;102;28;4,50 X 2,00;2;3,370294319;6,302535746;10,15987282;13,973804;2,339354041;10,27176726;6,904515027;11,87851809;13,73253139;16,1;1,427252292;12,8724518;15,02;47,27099752
347;102;28;4,50 X 2,00;2;3,370294319;6,207042781;11,27232184;17,53887473;6,6242228;11,54995466;4,835721084;10,1;12,64859096;15,2;0,992529775;13,87831104;12,7;29,90924771
348;103;28;4,50 X 2,00;2;3,370294319;9,549296586;12,0257475;15,27887454;1,997897154;12,10669659;11,25097344;11,28604799;14,66458427;18,6;3,65893937;14,48309982;17,84;82,23877766
203;56;29;4,50 X 2,00;2;3,370294319;9,008169779;13,24099929;17,18873385;4,603921516;13,40999248;14,12887165;15,88570738;17,90714885;20,6;1,323484441;16,55848028;20,02;128,3667577
205;56;29;4,50 X 2,00;2;3,370294319;7,957747155;14,6604439;19,35324108;6,551685058;14,8743508;10,98595672;15,21935491;17,70225487;23,2;2,64594018;18,55746636;19,2;96,6561854
209;58;29;4,50 X 2,00;2;3,370294319;5,443099054;12,67403863;17,09324089;7,542320167;12,96211572;14,1149208;14,005346;17,67572469;20,2;1,798757839;16,5043676;19,225;128,0928551
212;58;29;4,50 X 2,00;2;3,370294319;4,774648293;12,39038163;19,09859317;7,190652865;12,67119636;12,61324347;15,42861669;17,34989579;19,4;0,815623767;16,95318454;18,44;110,9686823
263;76;29;4,50 X 2,33;2;3,370294319;6,111549815;10,83266417;14,64225476;5,270575884;11,0678545;8,868139435;10,1936265;13,34300365;15,5;1,795245263;13,973804;14,84;58,63502679
186;51;30;4,50 X 2,00;2;3,956194387;6,780000576;11,85107495;15,50169146;3,553750243;11,99698676;12,22362777;3,077698299;10,45989024;14,33856827;6,923732696;14,73774773;13,53464207;64,71123321
188;51;30;4,50 X 2,00;2;3,956194387;4,456338407;11,82706291;15,82000134;5,491670988;12,05169593;10,62140408;0,674859769;10,43924371;15,2;10,15922083;14,99239564;13,9;57,16573332
73;20;31;5,00 X 3,00;1;2,239561944;8,435211984;11,39606234;14,61042378;1,71002492;11,46951287;7,714478824;10,09530911;11,4549733;12,1;0,228296575;12,94725462;11,525;41,93187448
74;20;31;5,00 X 3,00;1;2,239561944;5,888732894;10,90484197;14,00563499;3,318503502;11,05380816;8,956751061;7,917045841;11,58922627;13,7;1,234259971;13,51225467;13,0625;50,06808251
75;20;31;5,00 X 3,00;1;2,239561944;4,329014452;11,54828267;13,84648005;2,996501634;11,67473358;7,136620118;10,8;11,70438611;12,3;0,09444896;13,23771239;11,975;39,1759915
76;20;31;5,00 X 3,00;1;2,239561944;4,83831027;10,7158087;15,15155058;4,528482358;10,92100017;6,3697681;6,647388319;11,24490083;13,5;1,55634128;14,10510683;12,975;34,96856561
112;30;32;5,00 X 3,00;1;2,36550308;3,501408748;11,02840408;14,19662092;5,305566047;11,26331919;10,2294463;9,425423164;13,25367044;14,27507657;0,801758215;13,64753637;13,5875;65,17624086
113;30;32;5,00 X 3,00;1;2,36550308;5,570423008;12,10763428;14,86507168;4,792287755;12,3001272;8,080123512;7,4;13,57979698;15;1,665568328;14,5467618;14,475;53,00709158
114;30;32;5,00 X 3,00;1;2,36550308;5,220282133;10,75756603;13,973804;3,446227241;10,91440541;9,10650313;10,95295904;13,53448856;16,4;1,5906491;13,54010678;15,53975444;61,17606119
115;30;32;5,00 X 3,00;1;2,36550308;5,347606088;11,4163667;14,80140971;4,552694643;11,61083498;8,611629933;10,83311828;13,78177113;16,2;1,827896224;13,94197301;15,65;58,06934972
